sample_size,top-1,top-5,top-10,top-25,top-50,top-100,model_dir
175617,0.00909090909090909,0.05454545454545454,0.06363636363636363,0.13636363636363635,0.23636363636363636,0.37272727272727274,<built-in function dir>
180120,0.00909090909090909,0.02727272727272727,0.045454545454545456,0.16363636363636364,0.2818181818181818,0.4090909090909091,<built-in function dir>
184623,0.01818181818181818,0.06363636363636363,0.11818181818181818,0.19090909090909092,0.35454545454545455,0.4909090909090909,<built-in function dir>
189126,0.00909090909090909,0.00909090909090909,0.045454545454545456,0.10909090909090909,0.20909090909090908,0.32727272727272727,<built-in function dir>
193629,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.07272727272727272,0.19090909090909092,0.3090909090909091,<built-in function dir>
198132,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.13636363636363635,0.24545454545454545,0.38181818181818183,<built-in function dir>
202635,0.00909090909090909,0.045454545454545456,0.06363636363636363,0.15454545454545454,0.2818181818181818,0.4909090909090909,<built-in function dir>
207138,0,0.01818181818181818,0.03636363636363636,0.1,0.23636363636363636,0.39090909090909093,<built-in function dir>
211641,0.00909090909090909,0.045454545454545456,0.09090909090909091,0.16363636363636364,0.2909090909090909,0.4909090909090909,<built-in function dir>
216144,0.01818181818181818,0.045454545454545456,0.09090909090909091,0.2,0.2909090909090909,0.39090909090909093,<built-in function dir>
220647,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.11818181818181818,0.22727272727272727,0.44545454545454544,<built-in function dir>
225150,0,0.045454545454545456,0.07272727272727272,0.14545454545454545,0.24545454545454545,0.4636363636363636,<built-in function dir>
229653,0,0.03636363636363636,0.06363636363636363,0.11818181818181818,0.19090909090909092,0.4909090909090909,<built-in function dir>
234156,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.13636363636363635,0.21818181818181817,0.4090909090909091,<built-in function dir>
238659,0,0.00909090909090909,0.07272727272727272,0.1,0.21818181818181817,0.43636363636363634,<built-in function dir>
243162,0,0.01818181818181818,0.05454545454545454,0.12727272727272726,0.20909090909090908,0.42727272727272725,<built-in function dir>
247665,0.00909090909090909,0.00909090909090909,0.045454545454545456,0.13636363636363635,0.24545454545454545,0.42727272727272725,<built-in function dir>
252168,0,0.0,0.03636363636363636,0.07272727272727272,0.18181818181818182,0.32727272727272727,<built-in function dir>
256671,0.01818181818181818,0.05454545454545454,0.09090909090909091,0.14545454545454545,0.2909090909090909,0.45454545454545453,<built-in function dir>
261174,0,0.00909090909090909,0.03636363636363636,0.08181818181818182,0.19090909090909092,0.41818181818181815,<built-in function dir>
265677,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.10909090909090909,0.2545454545454545,0.42727272727272725,<built-in function dir>
270180,0.00909090909090909,0.045454545454545456,0.07272727272727272,0.13636363636363635,0.2545454545454545,0.39090909090909093,<built-in function dir>
274683,0.00909090909090909,0.02727272727272727,0.05454545454545454,0.12727272727272726,0.22727272727272727,0.43636363636363634,<built-in function dir>
279186,0.00909090909090909,0.03636363636363636,0.03636363636363636,0.1,0.19090909090909092,0.2909090909090909,<built-in function dir>
283689,0,0.01818181818181818,0.03636363636363636,0.10909090909090909,0.2545454545454545,0.44545454545454544,<built-in function dir>
288192,0.00909090909090909,0.05454545454545454,0.10909090909090909,0.2,0.3090909090909091,0.45454545454545453,<built-in function dir>
292695,0.00909090909090909,0.02727272727272727,0.10909090909090909,0.20909090909090908,0.32727272727272727,0.43636363636363634,<built-in function dir>
297198,0,0.02727272727272727,0.03636363636363636,0.13636363636363635,0.22727272727272727,0.45454545454545453,<built-in function dir>
301701,0,0.00909090909090909,0.03636363636363636,0.12727272727272726,0.2727272727272727,0.41818181818181815,<built-in function dir>
306204,0,0.02727272727272727,0.06363636363636363,0.16363636363636364,0.3,0.509090909090909,<built-in function dir>
310707,0.00909090909090909,0.03636363636363636,0.05454545454545454,0.13636363636363635,0.23636363636363636,0.42727272727272725,<built-in function dir>
315210,0,0.02727272727272727,0.06363636363636363,0.15454545454545454,0.24545454545454545,0.4090909090909091,<built-in function dir>
319713,0,0.00909090909090909,0.045454545454545456,0.15454545454545454,0.20909090909090908,0.32727272727272727,<built-in function dir>
324216,0,0.05454545454545454,0.05454545454545454,0.08181818181818182,0.19090909090909092,0.4,<built-in function dir>
328719,0.00909090909090909,0.02727272727272727,0.045454545454545456,0.10909090909090909,0.22727272727272727,0.4,<built-in function dir>
333222,0.02727272727272727,0.045454545454545456,0.06363636363636363,0.11818181818181818,0.23636363636363636,0.42727272727272725,<built-in function dir>
337725,0.02727272727272727,0.03636363636363636,0.09090909090909091,0.19090909090909092,0.2818181818181818,0.45454545454545453,<built-in function dir>
342228,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.12727272727272726,0.21818181818181817,0.38181818181818183,<built-in function dir>
346731,0,0.03636363636363636,0.09090909090909091,0.15454545454545454,0.2545454545454545,0.39090909090909093,<built-in function dir>
351234,0.00909090909090909,0.045454545454545456,0.1,0.19090909090909092,0.3181818181818182,0.45454545454545453,<built-in function dir>
355737,0.00909090909090909,0.02727272727272727,0.05454545454545454,0.10909090909090909,0.19090909090909092,0.34545454545454546,<built-in function dir>
